time_ms,speed_rpm
10983,102.86
10993,85.71
11003,85.71
11013,85.71
11023,85.71
11033,102.86
11043,68.57
11053,102.86
11063,85.71
11073,85.71
11084,102.86
11094,85.71
11104,85.71
11114,85.71
11124,102.86
11134,68.57
11144,102.86
11154,85.71
11164,85.71
11174,85.71
11184,85.71
11194,102.86
11204,85.71
11214,85.71
11224,85.71
11234,85.71
11244,102.86
11254,68.57
11264,102.86
11274,85.71
11284,85.71
11294,102.86
11304,68.57
11314,102.86
11324,85.71
11334,85.71
11344,85.71
11354,85.71
11364,102.86
11374,85.71
11384,85.71
11394,85.71
11404,85.71
11414,85.71
11425,102.86
11435,85.71
11445,85.71
11455,102.86
11465,85.71
11475,85.71
11485,85.71
11495,85.71
11505,102.86
11515,68.57
11525,102.86
11535,85.71
11545,85.71
11555,85.71
11565,85.71
11575,102.86
11585,85.71
11596,85.71
11606,85.71
11616,102.86
11626,85.71
11636,85.71
11646,85.71
11656,85.71
11666,102.86
11676,85.71
11686,85.71
11696,85.71
11706,85.71
11716,102.86
11726,68.57
11736,102.86
11746,85.71
11756,85.71
11766,85.71
11776,85.71
11786,85.71
11796,102.86
11806,85.71
11816,85.71
11826,85.71
11836,85.71
11846,102.86
11856,68.57
11866,102.86
11876,85.71
11886,85.71
11896,85.71
11906,85.71
11916,102.86
11926,85.71
11937,85.71
11947,85.71
11957,102.86
11967,85.71
11977,85.71
11987,85.71
11997,85.71
12007,102.86
12017,85.71
12027,85.71
12037,85.71
12047,85.71
12057,102.86
12067,68.57
12077,102.86
12087,85.71
12097,85.71
12108,102.86
12118,85.71
12128,85.71
12138,85.71
12148,102.86
12158,68.57
12168,102.86
12178,85.71
12188,85.71
12198,85.71
12208,85.71
12218,102.86
12228,85.71
12238,85.71
12248,85.71
12258,85.71
12268,102.86
12278,68.57
12288,102.86
12298,85.71
12308,85.71
12318,85.71
12328,85.71
12338,102.86
12348,85.71
12358,85.71
12368,85.71
12378,85.71
12388,85.71
12398,102.86
12408,68.57
12418,102.86
12428,85.71
12438,85.71
12449,102.86
12459,85.71
12469,85.71
12479,102.86
12489,85.71
12499,85.71
12509,85.71
12519,85.71
12529,85.71
12539,85.71
12549,85.71
12559,102.86
12569,85.71
12579,85.71
12589,85.71
12599,85.71
12609,102.86
12620,85.71
12630,85.71
12640,102.86
12650,85.71
12660,85.71
12670,85.71
12680,85.71
12690,102.86
12700,85.71
12710,85.71
12720,85.71
12730,85.71
12740,85.71
12750,85.71
12760,102.86
12770,85.71
12780,85.71
12790,85.71
12800,85.71
12810,85.71
12820,102.86
12830,85.71
12840,85.71
12850,85.71
12860,85.71
12870,102.86
12880,68.57
12890,102.86
12900,85.71
12910,85.71
12920,85.71
12930,85.71
12940,102.86
12950,85.71
12961,85.71
12971,85.71
12981,102.86
12991,85.71
13001,85.71
13011,85.71
13021,85.71
13031,102.86
13041,85.71
13051,85.71
13061,85.71
13071,85.71
13081,102.86
13091,68.57
13101,102.86
13111,85.71
13121,85.71
13132,85.71
13142,102.86
